participant_id	session_id	run_id	T1wOnTaskBrainSwipes_bold_mean	T1wOnTaskBrainSwipes_bold_nrev	T1wOnTaskBrainSwipes_bold_QC	T2wOnTaskBrainSwipes_bold_mean	T2wOnTaskBrainSwipes_bold_nrev	T2wOnTaskBrainSwipes_bold_QC	TaskOnT1wBrainSwipes_bold_mean	TaskOnT1wBrainSwipes_bold_nrev	TaskOnT1wBrainSwipes_bold_QC	TaskOnT2wBrainSwipes_bold_mean	TaskOnT2wBrainSwipes_bold_nrev	TaskOnT2wBrainSwipes_bold_QC	fMRI_ref-T1w_QC	fMRI_ref-T2w_QC
sub-281057	ses-V02	run-1	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-387471	ses-V02	run-1	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-739712	ses-V02	run-2	1.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-779644	ses-V02	run-2	0.0	1.0	NA	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	NA
sub-854637	ses-V02	run-2	1.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-862902	ses-V02	run-2	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-123208	ses-V02	run-1	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-164209	ses-V02	run-2	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-165927	ses-V02	run-1	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-204271	ses-V02	run-1	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-206064	ses-V02	run-2	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-222948	ses-V03	run-3	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-275832	ses-V02	run-2	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-282846	ses-V02	run-2	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-317454	ses-V02	run-2	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-332464	ses-V02	run-2	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-376515	ses-V02	run-1	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-420317	ses-V02	run-2	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-433103	ses-V02	run-1	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-560740	ses-V02	run-2	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-584545	ses-V02	run-2	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-600588	ses-V02	run-1	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-615961	ses-V02	run-1	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-638534	ses-V02	run-2	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-698909	ses-V02	run-1	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-794684	ses-V02	run-2	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-862902	ses-V02	run-1	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-892772	ses-V02	run-1	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-927208	ses-V02	run-1	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-929039	ses-V02	run-2	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-955511	ses-V02	run-1	NA	0.0	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA
sub-116400	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	NA	NA
sub-207504	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	NA
sub-231094	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	NA
sub-284508	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	NA	NA
sub-423107	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	NA
sub-490768	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	0.0	1.0	NA	NA	0.0	NA	NA	NA
sub-741232	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	1.0	1.0	NA	NA	0.0	NA	NA	NA
sub-107528	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-145203	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	1.0	1.0	NA	NA	NA
sub-184065	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-224603	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-284508	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-291742	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-306625	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	1.0	1.0	NA	NA	NA
sub-310682	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-423107	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-546478	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	1.0	1.0	NA	NA	NA
sub-547679	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-719200	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-739712	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-791024	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-791024	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-815547	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-957523	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-957523	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	1.0	NA	NA	NA
sub-960530	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
